Cuvant,Locatii
any,"(Linia 51, Pozitia 9)"
animated,"(Linia 244, Pozitia 1)"
and,"(Linia 21, Pozitia 6), (Linia 22, Pozitia 12), (Linia 24, Pozitia 8), (Linia 31, Pozitia 5), (Linia 31, Pozitia 14), (Linia 33, Pozitia 9), (Linia 34, Pozitia 6), (Linia 45, Pozitia 5), (Linia 51, Pozitia 4), (Linia 62, Pozitia 17), (Linia 63, Pozitia 8), (Linia 73, Pozitia 9), (Linia 74, Pozitia 6), (Linia 75, Pozitia 2), (Linia 75, Pozitia 4), (Linia 80, Pozitia 20), (Linia 120, Pozitia 11), (Linia 136, Pozitia 11), (Linia 160, Pozitia 13), (Linia 166, Pozitia 10), (Linia 170, Pozitia 4), (Linia 171, Pozitia 7), (Linia 172, Pozitia 15), (Linia 178, Pozitia 2), (Linia 184, Pozitia 4), (Linia 185, Pozitia 12), (Linia 187, Pozitia 9), (Linia 189, Pozitia 14), (Linia 207, Pozitia 2), (Linia 217, Pozitia 1), (Linia 217, Pozitia 9), (Linia 219, Pozitia 6), (Linia 225, Pozitia 13), (Linia 237, Pozitia 14), (Linia 253, Pozitia 7), (Linia 274, Pozitia 13), (Linia 278, Pozitia 2), (Linia 291, Pozitia 10), (Linia 306, Pozitia 16), (Linia 307, Pozitia 6), (Linia 309, Pozitia 1), (Linia 312, Pozitia 12), (Linia 317, Pozitia 13), (Linia 325, Pozitia 13), (Linia 326, Pozitia 1), (Linia 326, Pozitia 15), (Linia 328, Pozitia 3), (Linia 330, Pozitia 2), (Linia 335, Pozitia 13), (Linia 351, Pozitia 12), (Linia 368, Pozitia 5), (Linia 370, Pozitia 8), (Linia 374, Pozitia 14), (Linia 375, Pozitia 4), (Linia 385, Pozitia 3), (Linia 390, Pozitia 15), (Linia 412, Pozitia 14), (Linia 413, Pozitia 9), (Linia 414, Pozitia 14), (Linia 415, Pozitia 2), (Linia 422, Pozitia 6), (Linia 425, Pozitia 17), (Linia 430, Pozitia 15), (Linia 431, Pozitia 5), (Linia 435, Pozitia 16), (Linia 446, Pozitia 14), (Linia 458, Pozitia 6), (Linia 482, Pozitia 7), (Linia 493, Pozitia 13), (Linia 525, Pozitia 1), (Linia 536, Pozitia 7), (Linia 550, Pozitia 3), (Linia 550, Pozitia 8), (Linia 550, Pozitia 12), (Linia 550, Pozitia 16), (Linia 551, Pozitia 3), (Linia 551, Pozitia 13), (Linia 553, Pozitia 2), (Linia 556, Pozitia 13), (Linia 562, Pozitia 8), (Linia 576, Pozitia 4), (Linia 576, Pozitia 9), (Linia 576, Pozitia 14), (Linia 601, Pozitia 9), (Linia 604, Pozitia 13), (Linia 605, Pozitia 5), (Linia 616, Pozitia 3), (Linia 618, Pozitia 10), (Linia 623, Pozitia 6), (Linia 624, Pozitia 4), (Linia 627, Pozitia 2), (Linia 644, Pozitia 2), (Linia 644, Pozitia 16), (Linia 648, Pozitia 5), (Linia 648, Pozitia 7), (Linia 650, Pozitia 19), (Linia 657, Pozitia 7), (Linia 662, Pozitia 7), (Linia 665, Pozitia 16), (Linia 675, Pozitia 5), (Linia 679, Pozitia 9), (Linia 684, Pozitia 9), (Linia 690, Pozitia 13), (Linia 697, Pozitia 3), (Linia 697, Pozitia 5), (Linia 701, Pozitia 14), (Linia 703, Pozitia 6), (Linia 727, Pozitia 6), (Linia 746, Pozitia 9), (Linia 754, Pozitia 14), (Linia 756, Pozitia 4), (Linia 756, Pozitia 11), (Linia 760, Pozitia 2), (Linia 760, Pozitia 7), (Linia 763, Pozitia 3), (Linia 764, Pozitia 7), (Linia 765, Pozitia 14), (Linia 766, Pozitia 5), (Linia 768, Pozitia 12), (Linia 769, Pozitia 11), (Linia 775, Pozitia 7), (Linia 776, Pozitia 9), (Linia 791, Pozitia 9), (Linia 808, Pozitia 2), (Linia 817, Pozitia 7), (Linia 832, Pozitia 2), (Linia 839, Pozitia 12), (Linia 839, Pozitia 15), (Linia 844, Pozitia 2), (Linia 855, Pozitia 1), (Linia 857, Pozitia 15), (Linia 858, Pozitia 6), (Linia 858, Pozitia 16), (Linia 875, Pozitia 8), (Linia 897, Pozitia 2), (Linia 904, Pozitia 5), (Linia 907, Pozitia 1), (Linia 913, Pozitia 15), (Linia 918, Pozitia 18), (Linia 925, Pozitia 16), (Linia 937, Pozitia 2), (Linia 938, Pozitia 8), (Linia 940, Pozitia 20), (Linia 942, Pozitia 9), (Linia 980, Pozitia 4), (Linia 980, Pozitia 9), (Linia 986, Pozitia 1), (Linia 995, Pozitia 13), (Linia 998, Pozitia 10), (Linia 1009, Pozitia 6), (Linia 1013, Pozitia 11), (Linia 1023, Pozitia 5), (Linia 1029, Pozitia 9), (Linia 1035, Pozitia 13), (Linia 1038, Pozitia 9), (Linia 1047, Pozitia 6), (Linia 1052, Pozitia 1), (Linia 1053, Pozitia 16), (Linia 1055, Pozitia 6), (Linia 1057, Pozitia 11), (Linia 1061, Pozitia 5), (Linia 1070, Pozitia 2), (Linia 1082, Pozitia 15), (Linia 1087, Pozitia 14), (Linia 1089, Pozitia 14), (Linia 1091, Pozitia 12), (Linia 1125, Pozitia 8), (Linia 1130, Pozitia 12), (Linia 1137, Pozitia 13), (Linia 1138, Pozitia 12), (Linia 1150, Pozitia 1), (Linia 1164, Pozitia 14), (Linia 1171, Pozitia 19), (Linia 1201, Pozitia 23), (Linia 1214, Pozitia 16), (Linia 1251, Pozitia 6), (Linia 1253, Pozitia 13), (Linia 1262, Pozitia 8)"
anger,"(Linia 303, Pozitia 8)"
annoyed,"(Linia 371, Pozitia 11)"
ankle,"(Linia 806, Pozitia 6), (Linia 1236, Pozitia 10)"
annihilate,"(Linia 309, Pozitia 6)"
anniversary,"(Linia 1094, Pozitia 12)"
answer,"(Linia 122, Pozitia 5)"
annoying,"(Linia 409, Pozitia 7)"
another,"(Linia 8, Pozitia 14), (Linia 36, Pozitia 6), (Linia 84, Pozitia 11), (Linia 87, Pozitia 9), (Linia 121, Pozitia 4), (Linia 457, Pozitia 12), (Linia 628, Pozitia 8), (Linia 882, Pozitia 13), (Linia 888, Pozitia 2), (Linia 1221, Pozitia 9)"
answer,"(Linia 243, Pozitia 1), (Linia 263, Pozitia 7), (Linia 393, Pozitia 5), (Linia 618, Pozitia 9), (Linia 1017, Pozitia 5), (Linia 1019, Pozitia 6), (Linia 1093, Pozitia 5), (Linia 1144, Pozitia 4), (Linia 1165, Pozitia 5), (Linia 1268, Pozitia 3)"
answered,"(Linia 278, Pozitia 4), (Linia 287, Pozitia 14), (Linia 809, Pozitia 4), (Linia 1009, Pozitia 7), (Linia 1023, Pozitia 2), (Linia 1106, Pozitia 8), (Linia 1109, Pozitia 3)"
anxious,"(Linia 94, Pozitia 9), (Linia 1204, Pozitia 4)"
any,"(Linia 52, Pozitia 14)"
apologize,"(Linia 7, Pozitia 2)"
anyone,"(Linia 298, Pozitia 9)"
any,"(Linia 65, Pozitia 4), (Linia 67, Pozitia 18), (Linia 187, Pozitia 15), (Linia 224, Pozitia 11), (Linia 326, Pozitia 6), (Linia 754, Pozitia 8), (Linia 925, Pozitia 8), (Linia 929, Pozitia 14)"
anybody,"(Linia 511, Pozitia 3)"
anymore,"(Linia 401, Pozitia 2)"
anyone,"(Linia 427, Pozitia 14)"
anytime,"(Linia 919, Pozitia 13)"
anyone,"(Linia 941, Pozitia 5), (Linia 1121, Pozitia 14)"
anything,"(Linia 34, Pozitia 2), (Linia 287, Pozitia 12), (Linia 287, Pozitia 15), (Linia 298, Pozitia 14), (Linia 306, Pozitia 8), (Linia 361, Pozitia 1), (Linia 374, Pozitia 5), (Linia 521, Pozitia 11), (Linia 901, Pozitia 8), (Linia 909, Pozitia 1), (Linia 913, Pozitia 20), (Linia 977, Pozitia 5), (Linia 1125, Pozitia 14), (Linia 1138, Pozitia 6), (Linia 1150, Pozitia 16)"
anyway,"(Linia 527, Pozitia 8)"
anywhere,"(Linia 136, Pozitia 10), (Linia 488, Pozitia 9)"
appearance,"(Linia 67, Pozitia 3)"
apparition,"(Linia 64, Pozitia 5), (Linia 331, Pozitia 9)"
appear,"(Linia 274, Pozitia 10), (Linia 334, Pozitia 11)"
appletree,"(Linia 865, Pozitia 9)"
appeared,"(Linia 326, Pozitia 9), (Linia 389, Pozitia 14), (Linia 862, Pozitia 5), (Linia 1264, Pozitia 6)"
appeased,"(Linia 985, Pozitia 9)"
apply,"(Linia 231, Pozitia 8)"
approached,"(Linia 631, Pozitia 3)"
arbre,"(Linia 1239, Pozitia 7)"
away,"(Linia 181, Pozitia 8), (Linia 257, Pozitia 7), (Linia 406, Pozitia 12), (Linia 409, Pozitia 13), (Linia 604, Pozitia 16), (Linia 605, Pozitia 8), (Linia 615, Pozitia 8)"
asked,"(Linia 24, Pozitia 9)"
arms,"(Linia 318, Pozitia 16)"
are,"(Linia 11, Pozitia 4), (Linia 69, Pozitia 3), (Linia 99, Pozitia 12), (Linia 108, Pozitia 9), (Linia 119, Pozitia 9), (Linia 132, Pozitia 7), (Linia 148, Pozitia 9), (Linia 148, Pozitia 14), (Linia 156, Pozitia 12), (Linia 183, Pozitia 6), (Linia 206, Pozitia 11), (Linia 217, Pozitia 17), (Linia 225, Pozitia 17), (Linia 229, Pozitia 8), (Linia 230, Pozitia 5), (Linia 238, Pozitia 5), (Linia 242, Pozitia 1), (Linia 272, Pozitia 5), (Linia 276, Pozitia 3), (Linia 279, Pozitia 2), (Linia 282, Pozitia 9), (Linia 282, Pozitia 12), (Linia 283, Pozitia 7), (Linia 305, Pozitia 13), (Linia 306, Pozitia 4), (Linia 340, Pozitia 5), (Linia 351, Pozitia 2), (Linia 376, Pozitia 9), (Linia 384, Pozitia 11), (Linia 385, Pozitia 9), (Linia 386, Pozitia 6), (Linia 419, Pozitia 15), (Linia 428, Pozitia 3), (Linia 463, Pozitia 16), (Linia 487, Pozitia 5), (Linia 498, Pozitia 2), (Linia 503, Pozitia 3), (Linia 508, Pozitia 7), (Linia 531, Pozitia 3), (Linia 535, Pozitia 3), (Linia 545, Pozitia 3), (Linia 550, Pozitia 5), (Linia 593, Pozitia 3), (Linia 616, Pozitia 16), (Linia 619, Pozitia 3), (Linia 687, Pozitia 12), (Linia 690, Pozitia 15), (Linia 699, Pozitia 3), (Linia 732, Pozitia 3), (Linia 734, Pozitia 5), (Linia 739, Pozitia 3), (Linia 754, Pozitia 11), (Linia 792, Pozitia 8), (Linia 794, Pozitia 8), (Linia 798, Pozitia 3), (Linia 801, Pozitia 2), (Linia 807, Pozitia 20), (Linia 821, Pozitia 3), (Linia 823, Pozitia 5), (Linia 824, Pozitia 15), (Linia 835, Pozitia 3), (Linia 836, Pozitia 2), (Linia 836, Pozitia 5), (Linia 836, Pozitia 8), (Linia 840, Pozitia 7), (Linia 849, Pozitia 3), (Linia 850, Pozitia 2), (Linia 866, Pozitia 3), (Linia 873, Pozitia 9), (Linia 880, Pozitia 7), (Linia 890, Pozitia 2), (Linia 897, Pozitia 5), (Linia 909, Pozitia 11), (Linia 940, Pozitia 2), (Linia 940, Pozitia 10), (Linia 944, Pozitia 2), (Linia 944, Pozitia 6), (Linia 964, Pozitia 3), (Linia 968, Pozitia 2), (Linia 968, Pozitia 12), (Linia 972, Pozitia 2), (Linia 976, Pozitia 2), (Linia 977, Pozitia 2), (Linia 979, Pozitia 6), (Linia 980, Pozitia 12), (Linia 997, Pozitia 9), (Linia 1021, Pozitia 19), (Linia 1046, Pozitia 18), (Linia 1050, Pozitia 14), (Linia 1072, Pozitia 6), (Linia 1075, Pozitia 4), (Linia 1087, Pozitia 16), (Linia 1089, Pozitia 2), (Linia 1169, Pozitia 5), (Linia 1181, Pozitia 6), (Linia 1181, Pozitia 16), (Linia 1182, Pozitia 3), (Linia 1182, Pozitia 11), (Linia 1182, Pozitia 14), (Linia 1183, Pozitia 11), (Linia 1190, Pozitia 4), (Linia 1205, Pozitia 20), (Linia 1212, Pozitia 3)"
armor,"(Linia 320, Pozitia 6)"
arrival,"(Linia 548, Pozitia 6)"
arms,"(Linia 1035, Pozitia 12), (Linia 1066, Pozitia 6), (Linia 1135, Pozitia 4), (Linia 1138, Pozitia 15), (Linia 1149, Pozitia 13)"
army,"(Linia 759, Pozitia 14), (Linia 761, Pozitia 15)"
around,"(Linia 604, Pozitia 10), (Linia 664, Pozitia 9), (Linia 692, Pozitia 1), (Linia 806, Pozitia 4), (Linia 1138, Pozitia 16)"
ashamed,"(Linia 294, Pozitia 6)"
as,"(Linia 32, Pozitia 13), (Linia 58, Pozitia 6), (Linia 62, Pozitia 6), (Linia 70, Pozitia 8), (Linia 72, Pozitia 15), (Linia 78, Pozitia 12), (Linia 94, Pozitia 6), (Linia 104, Pozitia 4), (Linia 122, Pozitia 10), (Linia 131, Pozitia 18), (Linia 150, Pozitia 8), (Linia 171, Pozitia 10), (Linia 182, Pozitia 1), (Linia 186, Pozitia 10), (Linia 186, Pozitia 12), (Linia 189, Pozitia 16), (Linia 199, Pozitia 1), (Linia 206, Pozitia 16), (Linia 206, Pozitia 18), (Linia 216, Pozitia 12), (Linia 220, Pozitia 19), (Linia 221, Pozitia 16), (Linia 221, Pozitia 18), (Linia 229, Pozitia 4), (Linia 229, Pozitia 6), (Linia 242, Pozitia 9), (Linia 242, Pozitia 11), (Linia 255, Pozitia 12), (Linia 266, Pozitia 10), (Linia 282, Pozitia 17), (Linia 314, Pozitia 15), (Linia 341, Pozitia 17), (Linia 383, Pozitia 10), (Linia 400, Pozitia 4), (Linia 400, Pozitia 6), (Linia 403, Pozitia 6), (Linia 422, Pozitia 7), (Linia 433, Pozitia 9), (Linia 454, Pozitia 11), (Linia 506, Pozitia 16), (Linia 506, Pozitia 18), (Linia 628, Pozitia 3), (Linia 665, Pozitia 21), (Linia 666, Pozitia 2), (Linia 671, Pozitia 7), (Linia 775, Pozitia 11), (Linia 779, Pozitia 4), (Linia 801, Pozitia 11), (Linia 830, Pozitia 15), (Linia 897, Pozitia 21), (Linia 909, Pozitia 9), (Linia 1014, Pozitia 2), (Linia 1055, Pozitia 14), (Linia 1064, Pozitia 15), (Linia 1064, Pozitia 17), (Linia 1066, Pozitia 13), (Linia 1135, Pozitia 9), (Linia 1187, Pozitia 10), (Linia 1196, Pozitia 4), (Linia 1201, Pozitia 4), (Linia 1205, Pozitia 11), (Linia 1214, Pozitia 11), (Linia 1237, Pozitia 9), (Linia 1256, Pozitia 13), (Linia 1256, Pozitia 15), (Linia 1263, Pozitia 2)"
ascended,"(Linia 829, Pozitia 4)"
ashamed,"(Linia 541, Pozitia 6)"
aside,"(Linia 30, Pozitia 7)"
ask,"(Linia 163, Pozitia 15), (Linia 441, Pozitia 9), (Linia 1138, Pozitia 4), (Linia 1248, Pozitia 17)"
asked,"(Linia 558, Pozitia 7)"
astray,"(Linia 38, Pozitia 11)"
asteroid,"(Linia 150, Pozitia 17), (Linia 153, Pozitia 1), (Linia 153, Pozitia 5), (Linia 157, Pozitia 7), (Linia 160, Pozitia 10), (Linia 172, Pozitia 7), (Linia 238, Pozitia 4)"
asked,"(Linia 107, Pozitia 17), (Linia 110, Pozitia 13), (Linia 266, Pozitia 5), (Linia 277, Pozitia 11), (Linia 417, Pozitia 5), (Linia 466, Pozitia 1), (Linia 520, Pozitia 8), (Linia 522, Pozitia 9), (Linia 591, Pozitia 3), (Linia 742, Pozitia 8), (Linia 749, Pozitia 9), (Linia 821, Pozitia 10), (Linia 849, Pozitia 7), (Linia 1016, Pozitia 7), (Linia 1268, Pozitia 5)"
asleep,"(Linia 52, Pozitia 6), (Linia 104, Pozitia 8), (Linia 1035, Pozitia 6), (Linia 1041, Pozitia 5)"
astonishment,"(Linia 64, Pozitia 10)"
asteroids,"(Linia 412, Pozitia 8)"
astonished,"(Linia 440, Pozitia 6), (Linia 1192, Pozitia 13)"
astounded,"(Linia 79, Pozitia 11)"
astray,"(Linia 66, Pozitia 1)"
ate,"(Linia 203, Pozitia 13)"
astronomer,"(Linia 149, Pozitia 17), (Linia 153, Pozitia 15), (Linia 158, Pozitia 10)"
at,"(Linia 32, Pozitia 3), (Linia 37, Pozitia 13), (Linia 54, Pozitia 4), (Linia 59, Pozitia 11), (Linia 62, Pozitia 12), (Linia 64, Pozitia 3), (Linia 101, Pozitia 3), (Linia 122, Pozitia 13), (Linia 128, Pozitia 11), (Linia 131, Pozitia 12), (Linia 141, Pozitia 9), (Linia 155, Pozitia 11), (Linia 184, Pozitia 13), (Linia 185, Pozitia 18), (Linia 196, Pozitia 2), (Linia 219, Pozitia 7), (Linia 253, Pozitia 5), (Linia 253, Pozitia 11), (Linia 254, Pozitia 5), (Linia 289, Pozitia 3), (Linia 298, Pozitia 3), (Linia 309, Pozitia 7), (Linia 313, Pozitia 10), (Linia 336, Pozitia 5), (Linia 341, Pozitia 13), (Linia 358, Pozitia 14), (Linia 361, Pozitia 6), (Linia 361, Pozitia 13), (Linia 370, Pozitia 6), (Linia 396, Pozitia 7), (Linia 420, Pozitia 17), (Linia 451, Pozitia 8), (Linia 453, Pozitia 3), (Linia 453, Pozitia 6), (Linia 470, Pozitia 8), (Linia 483, Pozitia 18), (Linia 490, Pozitia 3), (Linia 499, Pozitia 10), (Linia 548, Pozitia 4), (Linia 644, Pozitia 5), (Linia 652, Pozitia 8), (Linia 653, Pozitia 4), (Linia 657, Pozitia 5), (Linia 785, Pozitia 7), (Linia 793, Pozitia 3), (Linia 800, Pozitia 5), (Linia 801, Pozitia 8), (Linia 818, Pozitia 4), (Linia 833, Pozitia 5), (Linia 844, Pozitia 5), (Linia 848, Pozitia 5), (Linia 858, Pozitia 13), (Linia 904, Pozitia 7), (Linia 913, Pozitia 7), (Linia 916, Pozitia 8), (Linia 917, Pozitia 2), (Linia 917, Pozitia 8), (Linia 925, Pozitia 7), (Linia 940, Pozitia 4), (Linia 977, Pozitia 6), (Linia 1009, Pozitia 4), (Linia 1011, Pozitia 15), (Linia 1037, Pozitia 12), (Linia 1044, Pozitia 8), (Linia 1076, Pozitia 9), (Linia 1132, Pozitia 15), (Linia 1138, Pozitia 9), (Linia 1168, Pozitia 18), (Linia 1168, Pozitia 22), (Linia 1174, Pozitia 5), (Linia 1176, Pozitia 2), (Linia 1186, Pozitia 4), (Linia 1186, Pozitia 7), (Linia 1193, Pozitia 2), (Linia 1222, Pozitia 10), (Linia 1245, Pozitia 5), (Linia 1259, Pozitia 2), (Linia 1265, Pozitia 3)"
attentively,"(Linia 83, Pozitia 3), (Linia 86, Pozitia 3)"
ate,"(Linia 1249, Pozitia 8)"
attempt,"(Linia 185, Pozitia 1)"
attention,"(Linia 239, Pozitia 6)"
authority,"(Linia 432, Pozitia 9), (Linia 502, Pozitia 6)"
awaken,"(Linia 1057, Pozitia 8)"
awakened,"(Linia 739, Pozitia 6)"
away,"(Linia 751, Pozitia 6)"
be,"(Linia 10, Pozitia 15)"
bad,"(Linia 75, Pozitia 13)"
away,"(Linia 980, Pozitia 14)"
awkward,"(Linia 321, Pozitia 1)"
back,"(Linia 184, Pozitia 10), (Linia 389, Pozitia 8), (Linia 438, Pozitia 12), (Linia 551, Pozitia 10), (Linia 971, Pozitia 3), (Linia 1110, Pozitia 10), (Linia 1111, Pozitia 2), (Linia 1269, Pozitia 10)"
backstage,"(Linia 765, Pozitia 1)"
ballet,"(Linia 762, Pozitia 7)"
bad,"(Linia 217, Pozitia 10), (Linia 221, Pozitia 6), (Linia 712, Pozitia 12), (Linia 1164, Pozitia 7), (Linia 1206, Pozitia 1)"
badly,"(Linia 358, Pozitia 17)"
baobabs,"(Linia 197, Pozitia 1), (Linia 205, Pozitia 6), (Linia 212, Pozitia 2), (Linia 213, Pozitia 16)"
bank,"(Linia 606, Pozitia 9)"
baobab,"(Linia 206, Pozitia 9), (Linia 208, Pozitia 9), (Linia 223, Pozitia 15), (Linia 329, Pozitia 12)"
baobabs,"(Linia 223, Pozitia 5), (Linia 225, Pozitia 16), (Linia 229, Pozitia 3), (Linia 234, Pozitia 1), (Linia 237, Pozitia 9), (Linia 239, Pozitia 9), (Linia 242, Pozitia 16), (Linia 243, Pozitia 16), (Linia 388, Pozitia 14), (Linia 779, Pozitia 5), (Linia 1084, Pozitia 2), (Linia 1086, Pozitia 8)"
bark,"(Linia 1039, Pozitia 1), (Linia 1219, Pozitia 9), (Linia 1219, Pozitia 15)"
basics,"(Linia 162, Pozitia 9)"
be,"(Linia 26, Pozitia 7)"
been,"(Linia 32, Pozitia 18), (Linia 58, Pozitia 10), (Linia 62, Pozitia 1), (Linia 148, Pozitia 5), (Linia 185, Pozitia 4)"
beasts,"(Linia 404, Pozitia 4)"
be,"(Linia 99, Pozitia 14), (Linia 172, Pozitia 13), (Linia 174, Pozitia 2), (Linia 190, Pozitia 6), (Linia 191, Pozitia 2), (Linia 191, Pozitia 14), (Linia 192, Pozitia 17), (Linia 208, Pozitia 3), (Linia 256, Pozitia 3), (Linia 256, Pozitia 6), (Linia 313, Pozitia 5), (Linia 329, Pozitia 7), (Linia 332, Pozitia 5), (Linia 361, Pozitia 11), (Linia 396, Pozitia 15), (Linia 400, Pozitia 11), (Linia 406, Pozitia 10), (Linia 420, Pozitia 15), (Linia 432, Pozitia 11), (Linia 436, Pozitia 8), (Linia 436, Pozitia 14), (Linia 459, Pozitia 6), (Linia 460, Pozitia 3), (Linia 468, Pozitia 6), (Linia 469, Pozitia 4), (Linia 471, Pozitia 1), (Linia 471, Pozitia 4), (Linia 496, Pozitia 6), (Linia 520, Pozitia 12), (Linia 587, Pozitia 7), (Linia 588, Pozitia 8), (Linia 624, Pozitia 8), (Linia 662, Pozitia 4), (Linia 671, Pozitia 15), (Linia 712, Pozitia 10), (Linia 759, Pozitia 6), (Linia 854, Pozitia 3), (Linia 855, Pozitia 11), (Linia 882, Pozitia 16), (Linia 883, Pozitia 9), (Linia 897, Pozitia 20), (Linia 898, Pozitia 9), (Linia 902, Pozitia 4), (Linia 911, Pozitia 4), (Linia 912, Pozitia 3), (Linia 917, Pozitia 15), (Linia 918, Pozitia 16), (Linia 925, Pozitia 14), (Linia 998, Pozitia 14), (Linia 1018, Pozitia 4), (Linia 1019, Pozitia 18), (Linia 1032, Pozitia 10), (Linia 1072, Pozitia 10), (Linia 1094, Pozitia 10), (Linia 1124, Pozitia 3), (Linia 1158, Pozitia 2), (Linia 1163, Pozitia 4), (Linia 1163, Pozitia 10), (Linia 1175, Pozitia 8), (Linia 1176, Pozitia 7), (Linia 1179, Pozitia 4), (Linia 1179, Pozitia 10), (Linia 1187, Pozitia 7), (Linia 1190, Pozitia 12), (Linia 1191, Pozitia 6), (Linia 1192, Pozitia 12), (Linia 1196, Pozitia 3), (Linia 1214, Pozitia 20), (Linia 1219, Pozitia 4), (Linia 1222, Pozitia 2), (Linia 1222, Pozitia 17), (Linia 1225, Pozitia 3), (Linia 1265, Pozitia 7), (Linia 1268, Pozitia 13)"
bear,"(Linia 405, Pozitia 3), (Linia 1159, Pozitia 18)"
beast,"(Linia 18, Pozitia 15), (Linia 801, Pozitia 5)"
beautifies,"(Linia 1027, Pozitia 2)"
beasts,"(Linia 406, Pozitia 17)"
beat,"(Linia 1139, Pozitia 4)"
became,"(Linia 11, Pozitia 17)"
beautiful,"(Linia 166, Pozitia 1), (Linia 231, Pozitia 12), (Linia 332, Pozitia 6), (Linia 340, Pozitia 3), (Linia 406, Pozitia 2), (Linia 524, Pozitia 12), (Linia 630, Pozitia 1), (Linia 693, Pozitia 4), (Linia 794, Pozitia 3), (Linia 944, Pozitia 3), (Linia 1022, Pozitia 1), (Linia 1024, Pozitia 4), (Linia 1262, Pozitia 7)"
beauty,"(Linia 334, Pozitia 19), (Linia 1033, Pozitia 3)"
became,"(Linia 1198, Pozitia 7)"
because,"(Linia 156, Pozitia 6), (Linia 161, Pozitia 3), (Linia 274, Pozitia 4), (Linia 395, Pozitia 8), (Linia 454, Pozitia 17), (Linia 463, Pozitia 13), (Linia 487, Pozitia 3), (Linia 673, Pozitia 16), (Linia 679, Pozitia 1), (Linia 935, Pozitia 6), (Linia 1014, Pozitia 11), (Linia 1022, Pozitia 2), (Linia 1105, Pozitia 2), (Linia 1171, Pozitia 15), (Linia 1205, Pozitia 7), (Linia 1227, Pozitia 6), (Linia 1229, Pozitia 5), (Linia 1233, Pozitia 4), (Linia 1238, Pozitia 1)"
become,"(Linia 183, Pozitia 1), (Linia 368, Pozitia 7), (Linia 958, Pozitia 16)"
becomes,"(Linia 980, Pozitia 6)"
begin,"(Linia 94, Pozitia 11)"
been,"(Linia 240, Pozitia 5), (Linia 324, Pozitia 11), (Linia 452, Pozitia 17), (Linia 560, Pozitia 15), (Linia 653, Pozitia 10), (Linia 653, Pozitia 15), (Linia 916, Pozitia 4), (Linia 1063, Pozitia 7), (Linia 1139, Pozitia 15), (Linia 1241, Pozitia 6)"
before,"(Linia 212, Pozitia 3), (Linia 418, Pozitia 12), (Linia 497, Pozitia 9), (Linia 536, Pozitia 1), (Linia 599, Pozitia 10), (Linia 758, Pozitia 17)"
beg,"(Linia 338, Pozitia 8), (Linia 396, Pozitia 10), (Linia 441, Pozitia 5)"
began,"(Linia 330, Pozitia 3), (Linia 412, Pozitia 18), (Linia 517, Pozitia 1), (Linia 517, Pozitia 14), (Linia 1013, Pozitia 14)"
believe,"(Linia 152, Pozitia 6)"
begin,"(Linia 884, Pozitia 2), (Linia 917, Pozitia 13)"
beginning,"(Linia 274, Pozitia 8)"
begins,"(Linia 1123, Pozitia 11)"
behind,"(Linia 376, Pozitia 3)"
being,"(Linia 212, Pozitia 8), (Linia 783, Pozitia 4)"
bells,"(Linia 1196, Pozitia 16)"
believe,"(Linia 282, Pozitia 5), (Linia 287, Pozitia 11), (Linia 380, Pozitia 2), (Linia 489, Pozitia 8), (Linia 493, Pozitia 15), (Linia 778, Pozitia 7), (Linia 823, Pozitia 7), (Linia 1194, Pozitia 4)"
believed,"(Linia 156, Pozitia 4)"
bells,"(Linia 1225, Pozitia 13)"
bending,"(Linia 291, Pozitia 16)"
bells,"(Linia 1246, Pozitia 15), (Linia 1255, Pozitia 3)"
belong,"(Linia 595, Pozitia 3)"
belongs,"(Linia 597, Pozitia 10), (Linia 598, Pozitia 4)"
bent,"(Linia 483, Pozitia 14)"
beseech,"(Linia 1266, Pozitia 14)"
beside,"(Linia 1021, Pozitia 9), (Linia 1078, Pozitia 16), (Linia 1115, Pozitia 3)"
besides,"(Linia 147, Pozitia 10)"
grownup,"(Linia 616278352, Pozitia 491), (Linia 7, Pozitia 0), (Linia 2003792487, Pozitia 7370094), (Linia 10, Pozitia 2)"
copy,"(Linia 19, Pozitia 1)"
breakdown,"(Linia 48, Pozitia 13)"
boa,"(Linia 18, Pozitia 8), (Linia 27, Pozitia 11), (Linia 28, Pozitia 5), (Linia 30, Pozitia 11), (Linia 43, Pozitia 17), (Linia 79, Pozitia 6), (Linia 80, Pozitia 14), (Linia 80, Pozitia 16)"
big,"(Linia 147, Pozitia 12), (Linia 161, Pozitia 6), (Linia 188, Pozitia 14), (Linia 307, Pozitia 14), (Linia 406, Pozitia 16), (Linia 687, Pozitia 5)"
best,"(Linia 59, Pozitia 17), (Linia 189, Pozitia 17), (Linia 283, Pozitia 1), (Linia 524, Pozitia 14)"
better,"(Linia 420, Pozitia 6), (Linia 916, Pozitia 5), (Linia 1175, Pozitia 1)"
between,"(Linia 1134, Pozitia 2)"
bird,"(Linia 1139, Pozitia 9)"
big,"(Linia 988, Pozitia 3), (Linia 1261, Pozitia 3)"
billion,"(Linia 757, Pozitia 5), (Linia 774, Pozitia 15)"
bit,"(Linia 192, Pozitia 19)"
birds,"(Linia 380, Pozitia 12)"
birthday,"(Linia 1105, Pozitia 5)"
blame,"(Linia 173, Pozitia 13)"
bit,"(Linia 1084, Pozitia 6), (Linia 1087, Pozitia 10)"
